Age,PlayTimeHours,InGamePurchases,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,Gender_Female,Gender_Male,Location_Asia,Location_Europe,Location_Other,Location_USA,GameGenre_Action,GameGenre_RPG,GameGenre_Simulation,GameGenre_Sports,GameGenre_Strategy,GameDifficulty_Easy,GameDifficulty_Hard,GameDifficulty_Medium
27,18.8521407229653,0,7,166,38,33,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
25,3.2696661242648046,0,3,135,14,44,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
25,23.193758520606085,0,13,128,5,25,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
30,3.617192886755352,0,15,111,21,38,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0
34,9.190899094251336,0,7,169,16,47,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0
26,23.771325440857783,1,9,177,52,44,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0
28,9.846809528061511,1,9,174,87,38,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1
28,5.415642451488799,0,11,150,33,17,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
23,12.220752858882474,1,12,133,9,44,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0
25,10.672068990681725,0,19,124,15,47,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0
43,9.61794020054614,0,12,138,9,17,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0
43,19.421689699844144,0,7,38,9,41,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
24,18.49808355746205,0,8,172,39,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0
28,18.402095042923303,1,13,101,31,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
15,9.741828954901974,0,4,159,47,31,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
45,12.711006277490618,1,4,26,86,25,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
23,5.813305554969178,0,10,10,52,13,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
24,10.451720658240273,0,9,169,76,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0
37,12.63557173082078,0,9,154,39,8,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
43,8.74035087203275,0,0,83,86,6,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
43,13.894961894226007,1,15,169,27,4,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1
36,8.131909304230508,0,9,179,93,43,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0
18,7.922585789856069,0,15,105,40,17,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0
37,1.3523622554073995,0,13,101,50,7,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
40,22.52977608373467,0,0,13,20,48,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
26,11.17190460416989,0,6,74,79,8,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
41,5.941045610175812,0,8,152,6,41,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
29,20.830707359569026,0,19,156,23,8,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0
40,10.919245849957992,0,4,154,97,15,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0
23,10.26186359689632,0,16,78,98,40,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1
36,2.679920381989331,0,0,53,70,10,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
17,13.161188527497629,0,12,154,76,47,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1
36,13.937747004664754,0,3,35,65,28,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
38,21.379734271110284,0,18,146,27,1,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0
41,17.07543846445173,0,0,57,66,47,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
35,2.062394133070524,0,16,31,64,40,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
27,13.54403945817944,1,15,172,42,40,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0
30,7.044516647089904,0,7,92,65,11,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
41,0.0669799660997592,0,3,49,21,48,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
21,19.754767275426836,0,9,118,34,25,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
17,21.083172292596764,0,9,27,14,9,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
26,20.540906946458605,0,15,48,21,48,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
40,17.633973031991257,0,4,134,52,24,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
33,21.488868304079222,0,15,75,27,48,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0
24,4.280613950331457,0,18,125,28,15,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0
21,20.73711802577653,0,0,106,92,18,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0
39,19.08888200434636,0,17,44,18,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
46,12.225498624188027,0,10,76,68,48,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0
46,4.019149841698597,0,17,103,6,48,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0
19,20.920238518943684,0,11,19,19,19,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
42,8.009869365427306,0,15,27,94,34,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
38,19.8684807515556,0,1,44,30,10,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
39,6.514033900117302,1,11,140,43,6,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0
29,23.697987006965505,1,18,73,76,9,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
30,12.092398106435729,0,11,130,12,47,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1
39,6.554020437882491,0,8,100,92,28,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
41,21.09131765787084,0,9,68,72,7,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
38,20.83802562387431,1,3,169,39,40,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
20,22.03733875128576,0,1,52,89,4,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
33,5.67668834879894,0,9,85,63,15,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
38,7.262085449106958,0,3,53,53,42,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
18,3.87680149970926,0,9,26,48,28,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
27,23.31450494079369,1,13,176,22,10,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0
44,10.17804906640606,0,1,80,10,35,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
30,16.45403535330252,1,14,127,71,44,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0
22,19.695845365718597,0,9,168,3,3,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0
31,17.389142343213912,0,13,28,57,18,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
37,18.322660272778872,0,7,117,25,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
48,22.99407655797605,0,2,52,57,12,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
29,11.762640093092042,0,3,13,47,21,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
42,8.764860899485974,0,12,60,44,23,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
34,18.85155683124194,0,18,159,80,21,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0
29,10.459650766120722,0,5,102,23,2,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
27,21.643248904814264,0,0,154,27,12,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
16,23.10926203790093,1,2,152,6,42,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0
45,7.321095037382401,0,4,42,26,30,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
33,10.762972224777672,0,3,40,41,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
33,4.866679074671787,0,17,111,80,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1
17,0.9799687853837602,0,10,173,67,15,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1
23,18.11544196933165,1,2,115,30,20,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
30,6.214157338209299,0,4,42,93,39,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
22,18.62269985241565,1,3,49,47,49,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
41,21.05496486794084,0,17,92,79,35,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0
45,23.183192851374606,0,0,128,82,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
44,8.491257056479677,0,8,108,73,25,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
47,8.462828547798324,0,13,98,90,35,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0
35,21.75172938570126,0,6,166,33,43,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0
32,21.244265505305144,0,12,13,13,40,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
46,17.04032919962955,1,12,31,16,8,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
41,14.03246328795322,1,1,54,95,46,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
37,9.562851859,0,15,93,77,16,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0
38,18.251948413854088,0,7,168,44,28,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0
36,22.21940763256349,0,15,63,13,25,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1
20,6.701615394943483,0,16,89,6,10,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
26,11.930318552893796,0,18,99,70,27,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0
37,0.8746487926781255,0,19,165,70,46,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0
24,18.21816024369264,1,6,14,81,49,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
42,13.312116040806051,0,15,144,21,4,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0
35,10.09243237828254,0,10,60,66,48,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
39,14.954486290544452,0,14,15,82,12,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
33,18.67822439294072,0,15,69,11,46,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
42,1.339385360746023,0,11,135,24,31,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1
30,15.0708542665684,0,0,123,95,42,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
27,18.395889337811564,0,7,164,97,23,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
19,16.840575211915063,0,16,106,61,28,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0
39,20.9416563155104,0,1,149,19,22,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
44,12.929171813774346,0,5,72,46,28,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0
42,6.307156475655275,0,16,134,57,44,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1
27,5.035225538258771,0,2,47,17,20,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
28,9.547804765037135,0,7,178,39,36,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
39,1.912933071300893,1,18,137,43,39,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1
35,13.357659293666757,0,11,123,91,47,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0
31,2.411007938752932,0,11,156,11,31,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1
23,12.057588854495751,0,9,94,33,39,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
42,9.015848914516983,0,2,22,48,43,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
15,12.532441208797913,0,0,12,49,8,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
30,3.3375889764025946,0,13,57,24,4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
48,6.768807883395143,0,10,58,93,21,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
46,3.442503221193922,0,17,131,93,38,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0
44,19.154388560532308,0,2,113,22,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
34,14.93070979366288,0,6,40,38,48,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
36,14.167448147251129,0,2,11,29,8,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
38,19.098444294951253,0,19,52,61,44,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1
30,12.537001944861364,0,14,147,55,17,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0
33,19.15319123114173,0,7,156,95,25,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
25,17.45403922196425,0,4,106,11,4,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0
47,7.396769657650117,0,1,23,99,8,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
45,4.215520219450505,0,12,150,28,35,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0
17,21.772487941885515,1,11,44,14,26,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
41,1.1032631876312484,0,11,87,20,42,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
31,6.951292832601285,1,7,35,48,29,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
22,7.876159128604385,0,4,99,96,30,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
39,23.910184626845187,0,7,12,10,3,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
34,22.44842110611117,0,7,54,57,38,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0
48,3.628067523423341,0,18,102,89,33,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0
49,20.18749756639492,0,18,111,26,28,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1
32,17.137634640134312,0,16,10,93,38,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
29,23.45929679209365,0,17,154,71,17,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0
47,10.774017219621992,0,6,60,2,42,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
27,13.19203379268416,0,16,96,1,25,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1
48,11.643963033549594,0,4,94,89,6,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
15,9.141675778977197,0,12,103,50,35,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
46,15.459217377138776,0,10,165,22,45,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0
32,13.242737879868404,0,15,176,73,19,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1
17,21.25250469984215,0,6,23,30,7,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
44,3.578908864317369,0,2,56,2,32,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
21,0.3131441822953871,0,3,110,67,46,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
48,5.144493284523723,1,6,78,37,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
35,13.102645210247982,0,13,158,3,10,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0
27,3.1190759013298788,0,14,145,34,5,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1
15,18.53918087696777,1,11,86,23,7,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1
18,18.3296557416666,1,2,108,81,40,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
39,23.547497161949924,0,11,79,97,17,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1
30,10.9800966893512,0,8,66,81,35,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
39,21.01215160473999,0,11,67,23,46,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
42,12.297431496822387,0,3,11,96,12,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
27,1.4713209652126045,0,1,83,18,13,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
40,9.203877733643443,0,17,92,61,27,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1
34,11.353005997173458,0,4,150,20,11,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
31,19.79092107006592,0,19,97,3,34,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0
27,6.302732470573809,1,1,113,40,11,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
21,4.223147532258111,0,4,168,27,26,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
20,14.107518391464785,0,14,169,34,12,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1
20,6.057020064377051,0,18,99,57,35,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0
43,19.58461881075855,0,8,129,27,6,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
37,18.11892109265201,1,12,99,99,24,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
22,3.1322128464285024,0,6,91,98,13,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1
19,9.30666824185634,0,2,82,75,6,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
41,11.165086149644512,0,7,16,76,25,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
15,7.627212990131663,0,16,71,3,2,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
17,15.171193403039004,1,11,112,45,19,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
15,12.936436044598445,0,16,92,12,44,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0
35,20.50705511526676,1,15,83,7,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
30,11.156609797906407,0,19,121,62,16,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0
23,20.655639207401443,0,9,121,26,47,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
40,1.0996554760457853,1,13,106,19,3,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
16,0.6948292101914397,0,2,84,34,29,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
38,15.067199010031151,0,2,38,58,20,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
43,4.626717178948569,0,0,101,69,39,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
19,17.550303467639907,1,5,123,6,43,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0
32,17.384222698421112,0,0,105,27,45,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
32,11.760657734901647,0,4,53,24,47,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
44,7.972451541480623,1,2,80,74,37,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
15,19.871483499781174,1,8,76,31,26,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
43,0.9670297802221136,0,17,32,70,13,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
17,3.369202301341269,0,17,142,14,2,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0
47,3.002306656482186,0,4,53,20,17,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
27,15.22941310572908,0,16,106,28,34,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0
24,16.06184575375648,1,12,34,91,22,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
31,14.678441853679784,0,14,63,92,17,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1
41,16.247344602658075,1,19,129,12,20,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0
36,22.2358981495848,0,10,75,8,5,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
30,11.628518889543884,0,19,175,19,8,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0
49,13.138265860364644,0,12,158,21,3,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0
34,17.873442172300006,1,3,65,15,14,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
19,7.376530303970126,0,13,22,99,49,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
17,4.18378972257399,0,18,15,5,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
47,11.769463357056404,0,10,164,51,13,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0
48,22.84120412430478,0,11,157,37,5,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0
43,7.349125754926679,0,11,136,49,40,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0
23,0.7111121041625958,0,4,135,28,11,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
20,4.991380259511964,0,16,169,96,23,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0
34,6.488114983058448,0,14,90,60,16,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
40,2.92163734647061,0,10,145,44,31,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0
49,11.778992174365388,0,12,165,57,3,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0
42,14.371379405534055,0,8,82,59,13,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
20,9.993156045176598,0,4,149,14,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
36,7.96838157484038,0,19,145,20,27,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1
41,0.8187093828391614,0,9,137,36,17,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
18,0.744902507431048,0,18,127,12,27,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0
26,13.24618433595743,0,10,12,67,25,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
28,21.601072070040477,1,0,35,11,25,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
19,14.591562064300698,0,2,165,99,32,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
42,17.92409598439494,0,3,150,30,47,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
24,1.732811293581351,0,10,177,13,43,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1
43,21.169994297940207,0,1,80,67,8,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
28,14.39022355982238,0,16,23,95,38,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
47,2.550702284492692,0,2,51,44,32,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
23,10.560922309096055,1,13,60,72,28,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
21,18.457213793083117,0,7,90,14,33,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
48,23.227722496147614,1,16,155,75,25,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0
31,22.409084552501277,0,18,21,42,40,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
36,8.214390725477667,0,1,53,54,16,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
17,8.741944783884993,0,5,112,98,37,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0
37,10.272299630937388,0,14,115,95,31,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0
48,15.763284703334929,0,4,117,61,15,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
38,7.425985037503857,0,19,157,98,33,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0
31,23.67339703549297,0,6,51,68,33,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
42,13.297752190463775,0,19,157,85,7,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0
36,2.9097619347368857,0,1,20,17,7,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
34,0.3026695887030026,0,19,34,46,43,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
42,1.524794113100139,0,12,168,74,5,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
39,10.865148730796887,0,0,166,28,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
23,11.841171974696044,0,18,15,25,11,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
18,3.513636000033916,1,15,133,48,18,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0
26,2.8834217869040044,0,19,73,74,44,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1
17,1.922106398106175,0,18,156,34,27,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0
25,20.846863981944487,1,18,48,56,26,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
45,16.716429522358133,0,7,141,66,41,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
